keywords	B2B	B2C	3D打印	VR/AR	本地生活	汽车交通	工具软件	母婴	企业信息化	社交网络	O2O	金融	移动互联网	传媒	先进制造	传统硬件	IT服务	教育	房产服务	文化娱乐	游戏	体育	C2C	物流配送	生物医药	医疗健康	生鲜	机械制造	互联网金融	环保	广告营销	家政服务	旅游服务	大数据	P2P服务	招聘求职	新材料	智能硬件	可穿戴设备	装修装潢	电子设备	网络社区	影视动漫	云服务	食品饮料	人工智能	新能源	现代农业	物联网	企业服务
免疫	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	3
皮革	1	0	3	0	4	1	0	0	0	0	1	0	1	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	6
sh	0	0	0	0	0	3	2	0	0	0	0	4	2	0	5	0	1	0	8	0	0	0	0	0	0	4	0	0	1	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1
视界	0	0	0	3	0	0	2	0	0	1	1	0	7	2	0	0	4	1	1	4	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	2	0	1	1	0	0	0	0	0	1
口腔	0	0	1	0	2	0	1	0	0	0	1	0	3	0	3	0	0	0	0	0	0	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
利用自身	0	0	0	0	2	2	2	0	0	1	0	3	4	3	1	0	2	1	1	0	0	0	0	1	0	0	0	0	2	4	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	4
首饰	2	3	1	0	2	0	0	0	0	0	0	6	4	1	1	0	2	0	0	1	0	0	1	2	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1
开创者	0	1	0	0	1	1	2	1	1	0	0	1	5	0	4	0	4	0	0	1	0	1	0	0	0	1	0	0	2	0	2	0	2	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	3
设备齐全	0	0	0	0	0	7	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	2	0	3
显示器	0	0	0	0	1	1	0	0	0	0	0	0	0	0	8	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	16	0	0	0	0	0	0	0	0	3
诚信为本	0	1	0	0	0	1	0	0	0	0	0	1	0	0	8	0	1	1	2	0	0	0	0	1	0	1	0	0	2	4	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	2	1	0	4
两地	0	0	0	1	0	0	1	0	0	1	0	2	4	1	2	0	5	0	4	1	0	0	0	1	0	1	0	0	3	2	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1
近百家	0	0	0	0	1	3	4	0	0	0	0	2	8	1	0	0	1	0	0	2	0	1	0	1	0	2	0	0	3	1	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	1	2
科学家	0	0	0	0	1	0	2	0	0	1	0	1	3	0	1	0	1	2	0	0	0	0	0	0	0	15	0	0	1	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1
评论	0	0	0	0	0	1	0	0	0	5	0	2	15	3	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
江淮	0	0	0	0	1	25	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3
纵向	0	0	0	0	2	2	0	0	1	1	0	0	4	2	3	0	5	0	2	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	5
他人	0	0	0	0	0	0	0	0	0	1	0	1	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	11	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1
地市	0	0	0	0	0	2	1	0	1	0	0	1	8	1	1	1	8	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	2	3
----	0	0	0	0	3	1	1	0	1	0	0	0	6	0	4	0	4	2	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	2	0	1	1	0	0	1	0	0	0	1	0	0	2	0	2
二手房	0	0	0	0	1	0	0	0	0	1	2	0	6	2	0	0	1	0	12	1	0	0	1	0	0	0	0	0	2	0	3	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
药房	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	3	23	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
理赔	1	1	0	0	0	6	0	0	1	0	2	13	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2
国人	0	1	0	0	3	0	0	0	1	0	1	0	7	1	1	0	1	1	1	1	0	0	0	1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	1	0	4
测试仪	0	0	0	0	1	1	0	0	0	0	0	0	3	0	9	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	3
异地	0	0	0	0	0	0	3	0	1	1	0	2	10	0	0	0	3	1	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	5
航运	0	0	0	0	0	4	4	0	0	0	0	3	3	0	2	0	2	0	2	0	0	0	0	9	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
intel	1	0	0	1	0	0	12	0	0	0	0	0	2	0	3	1	11	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
冲击	0	0	0	0	1	2	2	0	0	0	0	0	0	1	12	0	1	1	1	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	1	0	2
借款者	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
玩法	0	0	0	1	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	2	11	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
意见	0	1	0	0	2	0	0	0	1	3	1	5	6	3	2	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	3
全球性	0	0	0	0	0	1	1	0	0	0	0	2	7	0	7	0	4	1	0	1	1	0	0	1	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	2
如果	0	3	1	0	0	0	1	0	0	4	1	2	7	0	1	0	1	0	1	2	0	0	1	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1
rpg	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
内燃机	0	0	0	0	0	13	0	0	0	0	0	1	0	0	17	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
偏好	0	2	0	0	1	0	0	0	0	1	1	2	7	1	0	0	1	1	0	2	0	0	0	0	0	1	0	0	7	0	2	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
小家电	0	2	0	0	5	0	0	0	1	0	0	0	4	0	6	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	1	0	0	6	0	0	0	1	0	1	0	1	3
源热泵	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	5
质检	1	0	0	0	0	2	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	6	0	1	1	3	0	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	1	0	4
污染物	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8
优惠券	1	1	0	0	3	0	1	0	0	3	0	0	11	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1
血液	0	0	0	0	0	0	1	0	1	0	0	0	3	0	4	0	1	0	0	1	0	0	0	0	2	16	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	3
集成系统	0	0	0	0	0	3	4	0	0	0	0	2	2	0	3	0	4	1	0	0	0	0	0	0	0	1	0	1	1	7	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	1	0	0	1	2
权威认证	0	0	0	0	0	1	1	0	1	0	0	0	4	0	2	0	4	0	0	0	0	0	0	0	0	1	0	0	3	8	0	0	0	1	2	0	1	1	0	0	2	0	0	0	0	0	1	1	0	4
冷藏	0	1	0	0	2	1	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	1	0	2
匿名	0	0	0	0	0	0	0	0	0	16	0	2	17	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
内置	0	0	0	0	0	0	1	0	0	2	0	1	11	2	2	0	4	0	0	2	5	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
创造性	1	0	0	0	1	1	1	1	0	1	0	1	3	3	3	0	3	0	2	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	0	1	0	0	6
螺旋	0	0	0	0	1	3	0	0	0	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	1	1	0	2	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
先进设备	0	0	0	0	0	5	0	0	0	1	0	0	1	0	16	0	2	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	1	0	0	2
职场	0	0	0	0	0	0	1	0	1	5	2	0	18	1	0	0	1	4	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
重心	0	0	0	0	3	0	1	0	1	0	1	1	7	0	2	0	2	1	4	1	1	1	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	5
企业主	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
只要	0	1	0	0	0	0	2	0	0	3	1	1	15	0	1	0	2	2	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0
cg	0	0	0	1	0	1	1	0	1	0	0	0	1	4	0	0	4	1	0	6	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	2	0	7	0	0	0	0	0	0	3
pp	0	0	0	0	0	0	0	1	0	1	0	0	4	0	7	0	1	1	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	1	1	0	8	0	0	0	3	0	0	0	1	0	0	0	0	4
教练	1	0	0	1	6	1	0	0	1	1	1	0	8	0	0	0	1	3	0	2	0	5	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2
消费卡	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
节水	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	1
矿井	0	0	0	0	1	1	2	0	0	0	0	0	1	0	8	1	4	0	1	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	6
司法	0	0	0	0	0	1	3	0	2	0	0	1	5	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9
灯光	0	0	0	0	0	1	1	0	0	0	0	1	0	6	2	0	3	1	1	5	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0	1	6	0	1	0	0	0	0	0	0	3
疫苗	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	4
名城	0	0	0	0	1	0	1	0	0	0	0	1	2	0	8	0	1	0	8	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	2	0	0	0	0	1	2	0	1	0	1	0	0	0	1	2
导游	0	0	1	0	3	1	0	0	0	1	0	0	18	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
艺术家	0	1	1	0	0	0	1	0	0	3	0	2	10	2	1	0	0	0	0	7	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
论证	0	0	0	0	1	2	2	0	1	0	0	1	1	1	8	0	3	1	2	0	0	0	0	1	0	0	0	0	1	6	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	3
百姓	0	1	0	0	1	0	0	0	0	0	0	2	5	0	0	0	1	0	0	0	0	0	0	0	0	10	1	0	4	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	1	1	5
远程教育	0	0	0	0	0	0	2	0	0	0	0	0	12	1	0	0	5	13	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1
病毒	0	0	0	0	1	0	4	0	0	0	0	0	1	0	3	0	5	0	0	0	0	0	0	0	2	12	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5
民航	0	0	0	0	0	0	3	0	1	0	0	0	5	1	7	0	5	0	1	1	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	5
近十年	0	0	0	0	0	0	2	0	0	0	0	1	4	1	2	1	5	1	0	0	2	0	0	2	0	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	4
绿地	0	0	0	0	4	0	0	0	0	0	0	1	1	3	0	0	1	0	5	1	0	0	0	0	0	0	0	0	4	4	2	1	1	0	4	0	0	0	0	2	1	0	0	0	0	0	0	1	0	3
畜牧	1	0	0	0	2	0	1	0	0	0	0	1	0	0	4	0	1	0	1	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	14	0	2
招投标	0	0	0	0	2	0	2	0	0	0	0	0	4	1	2	0	4	0	3	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	1	3	0	0	1	0	0	0	0	1	8
大地	0	0	0	0	2	2	0	0	0	0	0	2	2	2	4	0	2	1	3	2	0	1	0	0	0	0	1	0	2	2	0	0	0	0	2	0	2	0	0	1	1	0	0	0	2	0	0	0	0	3
大户	0	0	0	0	2	1	0	0	0	1	0	3	2	0	8	0	0	1	4	0	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	4
fda	0	0	0	0	0	0	1	1	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	22	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	1	0	1
fcc	0	0	0	0	1	1	2	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	1	0	0	1	2	0	0	14	0	0	0	1	0	0	0	0	4
基建	0	0	0	0	1	0	4	0	1	0	0	1	0	0	4	0	6	0	14	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	3
探测	0	1	0	0	1	0	1	1	0	0	1	0	1	0	10	1	4	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	3	5
sgs	0	0	0	0	0	3	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	0	0	1	8	0	0	0	0	0	1	1	0	4
基层	0	0	0	0	0	3	2	0	0	0	0	1	7	0	0	0	4	1	0	0	0	0	0	0	2	12	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2
摄像机	0	0	0	1	3	3	5	0	0	1	0	0	2	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	8	0	1	0	0	0	0	0	2	3
pet	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0	1	0	0	2
润滑油	1	0	0	0	1	10	0	0	0	0	1	1	0	0	5	0	1	0	0	0	0	0	0	4	0	0	0	1	0	4	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	1	0	0	4
模具设计	0	0	1	0	0	11	0	0	0	0	0	0	1	0	20	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
音响	0	0	0	0	0	0	0	0	0	1	1	1	0	4	4	1	1	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	9	0	0	1	0	0	0	0	0	1
面料	1	1	0	0	4	3	0	0	0	0	2	0	2	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	5	2	3	0	0	0	0	0	0	0	0	3
行业软件	0	0	0	0	0	0	14	0	1	0	0	0	7	0	0	0	9	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
定价	0	1	0	0	3	2	1	0	0	1	2	2	3	0	1	0	3	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	6	0	0	0	1	0	0	0	0	3
变速器	0	0	0	0	0	31	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
副产品	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11	0	3	3	0	2
国产化	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	1	3	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	3
影片	0	0	0	0	0	0	0	0	0	1	0	0	3	7	0	0	4	1	0	10	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	7	1	0	0	0	0	0	1
寿命	0	0	0	0	2	2	1	0	0	0	0	0	1	0	6	2	1	0	0	0	0	0	0	0	0	1	0	2	0	11	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	1	1	0	2
加工能力	0	0	0	0	0	4	0	0	0	0	0	0	0	1	15	0	1	0	0	0	0	0	1	2	0	0	2	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	1	1	1	0
tmt	0	0	0	0	0	0	0	0	0	0	0	18	6	2	0	0	2	1	1	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
高度重视	0	0	0	0	0	2	1	0	1	0	0	3	2	0	5	0	4	0	2	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	2	0	6
零食	1	6	0	0	5	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	11	0	0	0	0	1
精加工	0	0	0	0	0	6	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	2	0	2
先河	0	1	0	0	1	3	0	2	0	0	0	0	4	0	2	0	0	2	3	1	1	0	0	0	0	3	0	0	1	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	1	0	5
用户群	0	1	0	0	0	1	2	0	0	3	0	0	20	0	0	0	2	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2
代理服务	0	0	0	0	2	0	0	0	0	0	0	2	1	3	1	0	2	0	6	1	0	0	0	7	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	6
重构	2	0	0	0	1	1	1	0	1	0	2	0	5	1	2	0	6	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	4	0	1	1	0	0	0	0	0	6
电视机	0	0	0	0	1	1	1	0	0	0	0	0	7	0	7	1	2	0	0	0	1	0	0	0	0	0	0	0	1	5	1	0	0	0	0	0	1	0	0	0	9	0	0	1	0	0	0	0	0	1
qs	0	0	0	0	0	6	1	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	2	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	8	0	1	3	0	1
茶叶	1	1	0	0	2	0	0	0	0	1	0	1	5	0	2	0	0	0	3	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	13	0	0	3	0	1
南路	0	0	0	0	1	0	1	0	0	0	0	3	1	0	4	0	2	0	13	0	0	0	0	0	0	1	0	0	4	3	0	0	0	0	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1
属性	0	2	0	0	0	1	1	1	0	1	1	2	16	2	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2
矿产	0	0	0	0	2	0	0	0	0	0	0	7	1	0	3	0	2	0	6	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
经理	0	0	0	0	1	1	0	0	0	2	1	2	12	1	1	1	0	1	0	1	2	0	0	0	0	1	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
逆变器	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	2
被誉为	0	0	0	0	0	4	1	0	0	0	0	0	3	0	5	0	4	1	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	1	0	1	3	0	0	0	1	0	0	2	0	5
官网	0	3	0	0	1	0	2	0	0	2	1	0	13	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	1	0	1	0	0	0	0	0	7	0	1	0	1	0	0	0	0	1
校企	0	0	1	0	1	0	3	0	0	1	0	0	1	0	5	0	7	4	1	0	0	0	0	1	0	1	0	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	6
学者	0	0	2	0	4	1	4	0	0	0	0	0	2	0	5	1	2	2	1	0	0	0	0	0	0	5	0	1	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	3
痛点	1	0	0	0	0	2	0	1	2	1	3	1	8	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	2	0	0	0	1	0	1	2	0	1	0	0	1	0	0	0	4
政企	0	0	0	0	1	1	4	0	0	0	1	1	4	2	2	0	11	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3
中医	1	0	0	0	2	0	0	1	0	1	1	0	7	1	1	0	1	0	0	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2
读者	0	1	0	0	1	0	1	0	0	2	0	0	9	3	1	0	5	1	0	4	0	0	1	0	0	0	0	0	0	0	4	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1
超声	1	0	0	0	0	1	0	0	0	1	0	0	2	0	6	0	1	0	0	0	0	0	0	0	1	19	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1
人口	0	0	0	0	2	1	3	0	1	0	0	1	0	0	3	0	6	0	4	0	0	0	0	1	0	4	0	0	0	4	1	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	2
态势	0	0	0	0	2	1	2	0	0	0	1	1	5	1	1	0	5	0	3	1	0	0	0	1	0	0	0	0	2	2	2	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	6
账号	0	0	0	0	1	0	1	0	0	3	0	0	18	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3
幼儿	0	0	0	0	1	0	0	2	0	1	1	1	8	0	1	0	2	17	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
画像	0	0	0	0	0	0	1	0	1	1	0	3	7	2	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	10	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	3
两端	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
如何	0	1	0	0	1	1	1	1	0	1	1	1	10	0	1	1	5	0	1	1	1	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	4
修理	0	0	0	0	2	4	3	0	0	0	0	1	2	0	15	0	4	0	1	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
专用车	0	0	0	0	0	28	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
